0.00,0.00
8.69,0.00
24.12,0.00
40.99,0.00
60.18,0.00
70.82,0.00
80.29,-0.02
83.85,-0.04
95.53,-0.06
109.79,-0.10
129.05,-0.17
139.62,-0.31
139.69,-0.31
139.75,-0.30
139.75,-0.30
139.75,-0.30
140.51,0.99
141.33,7.29
140.46,11.48
138.26,17.09
133.26,26.19
127.24,35.50
118.66,48.48
110.28,61.75
104.90,71.45
100.47,81.33
100.36,81.64
100.25,82.74
100.41,83.50
100.69,84.08
101.19,84.68
101.75,85.01
104.46,85.64
121.48,87.53
133.24,88.53
141.91,89.17
141.91,89.17
141.97,89.20
145.65,92.37
147.80,95.77
149.74,103.51
149.47,107.32
148.06,112.18
141.81,126.08
136.63,136.69
129.23,151.84
120.74,169.20
115.88,178.88
111.44,186.65
111.28,186.93
111.01,187.80
111.13,189.09
111.42,189.67
111.88,190.13
112.28,190.33
119.03,191.66
134.52,191.97
146.39,191.84
167.14,191.60
178.94,191.45
194.38,191.27
205.86,191.14
225.31,190.96
235.69,190.86
254.95,190.65
266.81,190.52
279.00,190.55
279.26,190.54
280.35,190.35
281.43,189.76
281.75,189.44
282.11,188.75
282.69,185.36
282.44,172.14
281.75,157.89
281.75,157.82
281.83,157.51
281.90,157.40
282.00,157.31
283.57,156.71
291.61,156.51
296.84,158.06
311.77,164.70
322.38,169.86
332.88,174.96
346.77,181.71
364.15,190.15
371.94,193.86
372.18,193.96
372.81,194.11
374.10,193.97
374.86,193.62
375.77,192.88
376.63,191.66
377.64,188.86
378.31,181.36
377.50,163.16
376.68,152.16
374.71,134.18
373.09,123.41
371.44,112.64
370.79,107.55
369.91,98.00
369.61,91.52
369.56,84.26
369.76,76.54
370.20,67.73
370.81,59.78
372.21,47.15
373.29,39.77
375.52,28.11
376.65,23.38
378.13,18.13
378.29,17.51
378.30,14.27
377.76,12.67
376.80,11.20
375.67,10.23
374.73,9.78
370.40,8.97
352.05,8.37
341.55,8.22
319.24,7.90
