0.00,0.00
1.94,0.10
9.71,2.64
13.09,5.05
15.67,7.79
16.51,9.02
17.15,10.29
17.53,11.47
17.83,13.72
17.79,17.61
16.72,31.05
16.72,31.05
16.70,31.11
16.67,31.17
16.62,31.21
15.61,31.80
11.71,32.76
6.97,32.65
2.26,31.76
-5.61,29.56
-16.90,25.31
-26.30,20.91
-42.08,12.89
-50.14,8.84
-62.84,3.75
-69.28,2.00
-76.38,0.77
-77.54,0.67
-81.67,1.11
-85.05,2.44
-87.99,4.57
-91.02,8.62
-91.60,9.93
-92.49,13.58
-92.44,17.34
-90.14,22.92
-88.51,24.68
-85.81,26.48
-80.09,28.18
-75.36,28.13
-70.44,26.94
-61.21,22.96
-49.73,16.00
-42.82,10.96
-36.36,6.06
-33.81,4.28
-31.41,2.85
-28.27,1.29
-23.02,-0.77
-21.23,-1.34
-14.09,-3.01
-8.24,-3.79
-0.87,-4.29
8.99,-4.22
20.79,-2.98
29.19,-1.30
40.00,1.67
47.02,4.00
51.96,5.80
55.51,7.02
58.01,7.74
61.48,8.57
64.47,9.15
70.46,9.85
75.39,9.98
79.60,9.91
89.65,9.66
101.32,9.29
120.43,8.49
131.37,7.84
144.57,6.98
154.93,6.31
166.25,5.59
176.54,4.91
183.33,4.39
184.37,4.31
188.19,4.09
190.84,4.02
193.89,4.02
197.07,4.14
201.53,4.46
204.30,4.77
207.76,5.31
210.88,5.94
214.09,6.72
216.52,7.41
219.06,8.21
221.33,8.99
224.00,10.00
227.17,11.32
229.91,12.51
232.63,13.73
235.48,14.99
238.53,16.25
240.06,16.79
246.45,17.89
250.99,17.66
257.89,16.13
260.97,15.12
269.25,11.90
280.12,6.68
284.42,4.39
288.24,2.61
291.71,1.34
297.86,-0.51
305.44,-2.27
312.93,-3.46
319.91,-4.07
329.31,-4.01
340.56,-2.56
351.92,0.42
363.15,4.64
367.63,6.53
369.71,7.26
370.27,7.44
371.90,8.23
373.09,9.24
373.93,10.63
374.79,13.35
378.41,29.88
380.41,40.19
384.14,59.29
386.10,69.35
388.62,81.67
393.11,100.34
395.42,109.18
397.75,122.01
398.33,130.94
398.48,149.29
398.42,159.99
398.31,171.41
397.79,184.11
397.72,184.75
396.74,187.50
395.79,188.65
395.40,188.88
393.64,189.32
377.85,191.58
367.15,192.82
351.95,194.59
340.35,195.93
324.89,197.73
305.70,199.96
295.26,201.17
276.13,203.36
263.05,204.87
251.64,206.18
232.51,208.37
222.07,209.58
202.75,211.83
192.70,212.99
175.74,214.82
158.68,216.26
149.62,216.85
132.08,217.93
122.95,218.47
112.72,218.94
96.70,218.99
79.27,218.26
70.08,217.71
54.43,216.43
46.31,215.57
35.76,214.19
28.79,213.03
19.50,210.88
